author_name,title,year,type,category,award,title_norm
Brian Seibert,What the Eye Hears: A History of Tap Dancing,2015,finalist,nonfiction,National Book Critics Circle Award,what the eye hears: a history of tap dancing
Hope Jahren,Lab Girl,2016,winner,autobiography,National Book Critics Circle Award,lab girl
Jenny Diski,In Gratitude,2016,finalist,autobiography,National Book Critics Circle Award,in gratitude
Marion Coutts,The Iceberg,2016,finalist,autobiography,National Book Critics Circle Award,the iceberg
Hisham Matar,"The Return: Fathers, Sons, and the Land in Between",2016,finalist,autobiography,National Book Critics Circle Award,"the return: fathers, sons, and the land in between"
Kao Kalia Yang,The Song Poet: A Memoir of My Father,2016,finalist,autobiography,National Book Critics Circle Award,the song poet: a memoir of my father
Ruth Franklin,Shirley Jackson: A Rather Haunted Life,2016,winner,biography,National Book Critics Circle Award,shirley jackson: a rather haunted life
Joe Jackson,Black Elk: The Life of an American Visionary,2016,finalist,biography,National Book Critics Circle Award,black elk: the life of an american visionary
Frances Wilson,Guilty Thing: A Life of Thomas De Quincey,2016,finalist,biography,National Book Critics Circle Award,guilty thing: a life of thomas de quincey
Michael Tisserand,Krazy: The Black and White World of George Herriman,2016,finalist,biography,National Book Critics Circle Award,krazy: the black and white world of george herriman
Nigel Cliff,Moscow Nights: The Van Cliburn Story-How One Man and His Piano Transformed the Cold War,2016,finalist,biography,National Book Critics Circle Award,moscow nights: the van cliburn story-how one man and his piano transformed the cold war
Louise Erdrich,LaRose,2016,winner,fiction,National Book Critics Circle Award,larose
Ann Patchett,Commonwealth,2016,finalist,fiction,National Book Critics Circle Award,commonwealth
Adam Haslett,Imagine Me Gone,2016,finalist,fiction,National Book Critics Circle Award,imagine me gone
Michael Chabon,Moonglow,2016,finalist,fiction,National Book Critics Circle Award,moonglow
Zadie Smith,Swing Time,2016,finalist,fiction,National Book Critics Circle Award,swing time
Matthew Desmond,Evicted: Poverty and Profit in the American City,2016,winner,nonfiction,National Book Critics Circle Award,evicted: poverty and profit in the american city
Jane Mayer,Dark Money: The Hidden History of the Billionaires Behind the Rise of the Radical Right,2016,finalist,nonfiction,National Book Critics Circle Award,dark money: the hidden history of the billionaires behind the rise of the radical right
Ibram X. Kendi,Stamped from the Beginning: The Definitive History of Racist Ideas in America,2016,finalist,nonfiction,National Book Critics Circle Award,stamped from the beginning: the definitive history of racist ideas in america
John Edgar Wideman,Writing to Save a Life: The Louis Till File,2016,finalist,nonfiction,National Book Critics Circle Award,writing to save a life: the louis till file
Xiaolu Guo,Nine Continents: A Memoir in and Out of China,2017,winner,autobiography,National Book Critics Circle Award,nine continents: a memoir in and out of china
Henry Marsh,Admissions: Life as a Brain Surgeon,2017,finalist,autobiography,National Book Critics Circle Award,admissions: life as a brain surgeon
Roxane Gay,Hunger: A Memoir of (My) Body,2017,finalist,autobiography,National Book Critics Circle Award,hunger: a memoir of (my) body
Thi Bui,The Best We Could Do: An Illustrated Memoir,2017,finalist,autobiography,National Book Critics Circle Award,the best we could do: an illustrated memoir
Ludmilla Petrushevskaya,The Girl from the Metropol Hotel: Growing Up in Communist Russia,2017,finalist,autobiography,National Book Critics Circle Award,the girl from the metropol hotel: growing up in communist russia
Caroline Fraser,Prairie Fires: The American Dreams of Laura Ingalls Wilder,2017,winner,biography,National Book Critics Circle Award,prairie fires: the american dreams of laura ingalls wilder
William Taubman,Gorbachev: His Life and Times,2017,finalist,biography,National Book Critics Circle Award,gorbachev: his life and times
Kenneth Whyte,Hoover: The Life and Times of Herbert Hoover,2017,finalist,biography,National Book Critics Circle Award,hoover: the life and times of herbert hoover
Edmund Gordon,The Invention of Angela Carter: A Biography,2017,finalist,biography,National Book Critics Circle Award,the invention of angela carter: a biography
Howard Markel,The Kelloggs: The Battling Brothers of Battle Creek,2017,finalist,biography,National Book Critics Circle Award,the kelloggs: the battling brothers of battle creek
Joan Silber,Improvement,2017,winner,fiction,National Book Critics Circle Award,improvement
Mohsin Hamid,Exit West,2017,finalist,fiction,National Book Critics Circle Award,exit west
Jesmyn Ward,"Sing, Unburied, Sing",2017,finalist,fiction,National Book Critics Circle Award,"sing, unburied, sing"
Arundhati Roy,The Ministry of Utmost Happiness,2017,finalist,fiction,National Book Critics Circle Award,the ministry of utmost happiness
Alice McDermott,The Ninth Hour,2017,finalist,fiction,National Book Critics Circle Award,the ninth hour
Frances FitzGerald,The Evangelicals: The Struggle to Shape America,2017,winner,nonfiction,National Book Critics Circle Award,the evangelicals: the struggle to shape america
Adam Rutherford,A Brief History of Everyone Who Ever Lived: The Human Story Retold Through Our Genes,2017,finalist,nonfiction,National Book Critics Circle Award,a brief history of everyone who ever lived: the human story retold through our genes
Kapka Kassabova,Border: A Journey to the Edge of Europe,2017,finalist,nonfiction,National Book Critics Circle Award,border: a journey to the edge of europe
Masha Gessen,The Future Is History: How Totalitarianism Reclaimed Russia,2017,finalist,nonfiction,National Book Critics Circle Award,the future is history: how totalitarianism reclaimed russia
Jack E. Davis,The Gulf: The Making of An American Sea,2017,finalist,nonfiction,National Book Critics Circle Award,the gulf: the making of an american sea
Sherman Alexie,War Dances,2010,winner,NA,PEN/Faulkner Award,war dances
Lorrie Moore,A Gate at the Stairs,2010,finalist,NA,PEN/Faulkner Award,a gate at the stairs
Lorraine M. Lopez,Homicide Survivors Picnic and Other Stories,2010,finalist,NA,PEN/Faulkner Award,homicide survivors picnic and other stories
Lorraine Lopez,Homicide Survivors Picnic and other stories,2010,finalist,NA,PEN/Faulkner Award,homicide survivors picnic and other stories
Colson Whitehead,Sag Harbor,2010,finalist,NA,PEN/Faulkner Award,sag harbor
Barbara Kingsolver,The Lacuna,2010,finalist,NA,PEN/Faulkner Award,the lacuna
Deborah Eisenberg,The Collected Stories of Deborah Eisenberg: Stories,2011,winner,NA,PEN/Faulkner Award,the collected stories of deborah eisenberg: stories
Jennifer Egan,A Visit from the Goon Squad,2011,finalist,NA,PEN/Faulkner Award,a visit from the goon squad
Brad    Watson,Aliens in the Prime of Their Lives,2011,finalist,NA,PEN/Faulkner Award,aliens in the prime of their lives
Jaimy Gordon,Lord of Misrule,2011,finalist,NA,PEN/Faulkner Award,lord of misrule
Eric Puchner,Model Home,2011,finalist,NA,PEN/Faulkner Award,model home
Julie Otsuka,The Buddha in the Attic,2012,winner,NA,PEN/Faulkner Award,the buddha in the attic
Russell Banks,Lost Memory of Skin,2012,finalist,NA,PEN/Faulkner Award,lost memory of skin
Don DeLillo,The Angel Esmeralda: Nine Stories,2012,finalist,NA,PEN/Faulkner Award,the angel esmeralda: nine stories
Anita Desai,The Artist of Disappearance,2012,finalist,NA,PEN/Faulkner Award,the artist of disappearance
Steven Millhauser,We Others: New and Selected Stories,2012,finalist,NA,PEN/Faulkner Award,we others: new and selected stories
Benjamin Alire Saenz,Everything Begins and Ends at the Kentucky Club,2013,winner,NA,PEN/Faulkner Award,everything begins and ends at the kentucky club
T. Geronimo Johnson,Hold It 'Til It Hurts,2013,finalist,NA,PEN/Faulkner Award,hold it 'til it hurts
Laird Hunt,Kind One,2013,finalist,NA,PEN/Faulkner Award,kind one
Amelia Gray,Threats,2013,finalist,NA,PEN/Faulkner Award,threats
Thomas Mallon,Watergate,2013,finalist,NA,PEN/Faulkner Award,watergate
Karen Joy Fowler,We Are All Completely Beside Ourselves,2014,winner,NA,PEN/Faulkner Award,we are all completely beside ourselves
Daniel Alarcon,At Night We Walk in Circles,2014,finalist,NA,PEN/Faulkner Award,at night we walk in circles
Joan Silber,Fools: Stories,2014,finalist,NA,PEN/Faulkner Award,fools: stories
Percival Everett,Percival Everett by Virgil Russell,2014,finalist,NA,PEN/Faulkner Award,percival everett by virgil russell
Valerie Trueblood,Search Party: Stories of Rescue,2014,finalist,NA,PEN/Faulkner Award,search party: stories of rescue
Atticus Lish,Preparation for the Next Life,2015,winner,NA,PEN/Faulkner Award,preparation for the next life
Jenny Offill,Dept. of Speculation,2015,finalist,NA,PEN/Faulkner Award,dept. of speculation
Jennifer Clement,Prayers for the Stolen,2015,finalist,NA,PEN/Faulkner Award,prayers for the stolen
Jeffery Renard Allen,Song of the Shank,2015,finalist,NA,PEN/Faulkner Award,song of the shank
Emily St. John Mandel,Station Eleven,2015,finalist,NA,PEN/Faulkner Award,station eleven
James Hannaham,Delicious Foods,2016,winner,NA,PEN/Faulkner Award,delicious foods
Elizabeth Tallent,Mendocino Fire: Stories,2016,finalist,NA,PEN/Faulkner Award,mendocino fire: stories
Julie Iromuanya,Mr. and Mrs. Doctor,2016,finalist,NA,PEN/Faulkner Award,mr. and mrs. doctor
Viet Thanh Nguyen,The Sympathizer,2016,finalist,NA,PEN/Faulkner Award,the sympathizer
Luis Alberto Urrea,The Water Museum,2016,finalist,NA,PEN/Faulkner Award,the water museum
Imbolo Mbue,Behold the Dreamers,2017,winner,NA,PEN/Faulkner Award,behold the dreamers
Viet Dinh,After Disasters,2017,finalist,NA,PEN/Faulkner Award,after disasters
Louise Erdrich,LaRose,2017,finalist,NA,PEN/Faulkner Award,larose
Garth Greenwell,What Belongs to You,2017,finalist,NA,PEN/Faulkner Award,what belongs to you
Sunil Yapa,Your Heart is a Muscle the Size of a Fist,2017,finalist,NA,PEN/Faulkner Award,your heart is a muscle the size of a fist
